iter	Passed	Remaining
0	70	1057363
1	71	538714
2	72	364482
3	74	277973
4	75	225610
5	76	190849
6	77	166112
7	78	147393
8	79	132726
9	80	121000
10	81	111459
11	82	103567
12	84	96919
13	85	91126
14	86	86113
15	87	81745
16	88	77811
17	89	74379
18	90	71628
19	92	69180
20	95	67972
21	98	66845
22	99	64648
23	100	62655
24	101	60788
25	102	59065
26	103	57490
27	104	56067
28	105	54720
29	107	53477
30	108	52461
31	109	51359
32	110	50284
33	112	49309
34	113	48345
35	114	47457
36	115	46622
37	116	45803
38	117	45024
39	118	44279
40	119	43588
41	121	43147
42	122	42553
43	124	42402
44	126	41922
45	127	41495
46	128	40947
47	129	40445
48	130	39957
49	131	39465
50	133	39014
51	134	38578
52	135	38180
53	136	37754
54	137	37354
55	138	36975
56	139	36625
57	140	36280
58	141	35931
59	142	35600
60	144	35273
61	145	34959
62	146	34668
63	147	34388
64	148	34185
65	150	33970
66	152	33948
67	154	33888
68	155	33740
69	157	33524
70	158	33271
71	159	33028
72	160	32783
73	161	32549
74	162	32329
75	163	32107
76	164	31897
77	165	31702
78	166	31498
79	167	31300
80	168	31125
81	170	30964
82	171	30795
83	172	30622
84	173	30443
85	174	30288
86	175	30129
87	177	30043
88	178	29887
89	179	29741
90	180	29652
91	182	29530
92	184	29549
93	186	29578
94	187	29474
95	189	29342
96	190	29202
97	191	29067
98	192	28933
99	193	28812
100	194	28683
101	195	28558
102	196	28439
103	197	28316
104	198	28209
105	200	28114
106	201	27998
107	202	27933
108	203	27837
109	204	27743
110	206	27728
111	208	27689
112	212	28002
113	213	27906
114	214	27821
115	216	27747
116	217	27658
117	218	27583
118	219	27482
119	221	27424
120	222	27350
121	223	27301
122	225	27214
123	225	27068
124	226	26998
125	227	26911
126	229	26829
127	230	26754
128	231	26683
129	232	26599
130	233	26531
131	234	26450
132	236	26403
133	237	26336
134	240	26455
135	242	26504
136	244	26574
137	247	26624
138	249	26683
139	251	26734
140	254	26785
141	256	26846
142	258	26892
143	261	26932
144	263	26984
145	265	27044
146	268	27106
147	269	27041
148	270	26969
149	271	26893
150	272	26824
151	273	26756
152	274	26684
153	276	26618
154	277	26554
155	278	26492
156	279	26429
157	280	26357
158	282	26327
159	283	26295
160	284	26236
161	285	26183
162	286	26122
163	288	26068
164	289	26012
165	290	25950
166	291	25898
167	292	25839
168	293	25790
169	294	25731
170	296	25748
171	305	26341
172	307	26363
173	308	26310
174	309	26260
175	311	26202
176	312	26139
177	313	26094
178	314	26050
179	315	25998
180	316	25945
181	318	25894
182	319	25840
183	320	25789
184	321	25735
185	322	25683
186	323	25635
187	324	25579
188	326	25569
189	331	25815
190	332	25816
191	334	25772
192	335	25728
193	336	25681
194	337	25630
195	338	25582
196	339	25546
197	341	25497
198	342	25444
199	343	25389
200	344	25337
201	345	25313
202	346	25267
203	347	25199
204	348	25156
205	349	25112
206	350	25067
207	351	25020
208	352	24981
209	354	24938
210	354	24878
211	356	24853
212	358	24906
213	361	24955
214	362	24917
215	363	24873
216	364	24837
217	365	24789
218	366	24750
219	367	24706
220	368	24665
221	369	24628
222	371	24588
223	372	24547
224	373	24506
225	374	24469
226	375	24434
227	376	24416
228	377	24379
229	379	24342
230	380	24306
231	381	24270
232	382	24233
233	383	24229
234	385	24198
235	386	24169
236	388	24193
237	389	24189
238	391	24174
239	392	24141
240	393	24109
241	394	24079
242	395	24044
243	396	24006
244	398	23973
245	399	23935
246	400	23899
247	401	23868
248	402	23841
249	403	23815
250	404	23781
251	405	23744
252	406	23720
253	408	23702
254	409	23689
255	410	23659
256	411	23630
257	413	23601
258	414	23591
259	416	23624
260	418	23629
261	419	23624
262	421	23595
263	422	23568
264	423	23541
265	424	23512
266	425	23480
267	426	23448
268	427	23431
269	428	23403
270	429	23370
271	431	23343
272	432	23310
273	433	23280
274	434	23252
275	435	23222
276	436	23191
277	437	23162
278	438	23141
279	439	23122
280	440	23091
281	442	23083
282	443	23070
283	445	23106
284	447	23126
285	449	23105
286	450	23078
287	451	23055
288	452	23028
289	453	23020
290	454	22995
291	455	22968
292	457	22950
293	458	22923
294	459	22895
295	460	22885
296	461	22862
297	462	22839
298	464	22813
299	465	22792
300	466	22779
301	467	22759
302	468	22733
303	469	22719
304	471	22716
305	472	22703
306	474	22694
307	476	22711
308	477	22724
