iter	RMSE
0	9.301965957
1	9.283897162
2	9.264403448
3	9.243834981
4	9.226673295
5	9.211921975
6	9.196272233
7	9.178300244
8	9.161948767
9	9.144603726
10	9.128323453
11	9.111688877
12	9.094877475
13	9.07891753
14	9.065805452
15	9.050987301
16	9.035840814
17	9.020729731
18	9.003353163
19	8.987337456
20	8.972431714
21	8.958099987
22	8.946913856
23	8.931063602
24	8.917164076
25	8.905504429
26	8.895249781
27	8.881816233
28	8.866979367
29	8.852011123
30	8.839655847
31	8.825454506
32	8.809252929
33	8.796924047
34	8.783790217
35	8.774760187
36	8.764859295
37	8.753025783
38	8.739863044
39	8.728669982
40	8.716773489
41	8.705273345
42	8.693857578
43	8.681322982
44	8.671410002
45	8.658770228
46	8.646002559
47	8.635456121
48	8.625483036
49	8.613154526
50	8.601987647
51	8.590999549
52	8.580684371
53	8.569835997
54	8.559418056
55	8.550733082
56	8.542739793
57	8.533920217
58	8.522720604
59	8.515896218
60	8.503516593
61	8.495191813
62	8.484054187
63	8.473502196
64	8.463295316
65	8.453415478
66	8.444687207
67	8.435348564
68	8.424929209
69	8.415836962
70	8.40713825
71	8.399831221
72	8.3922869
73	8.385319752
74	8.379182775
75	8.372450693
76	8.36494228
77	8.356021382
78	8.347360888
79	8.337664061
80	8.330433266
81	8.320505687
82	8.311236908
83	8.302453767
84	8.293988024
85	8.287018937
86	8.278654026
87	8.270382394
88	8.261891029
89	8.25442941
90	8.245163045
91	8.238886722
92	8.230646272
93	8.222859274
94	8.21324887
95	8.206052944
96	8.199686815
97	8.192408528
98	8.185179896
99	8.179115097
100	8.173368367
101	8.166036456
102	8.160312103
103	8.154327056
104	8.14950642
105	8.143189848
106	8.13683857
107	8.130800321
108	8.123775413
109	8.116225674
110	8.109570007
111	8.101247124
112	8.094929481
113	8.089477513
114	8.082425022
115	8.075692593
116	8.068741842
117	8.061409982
118	8.054066209
119	8.047543326
120	8.042510082
121	8.037312952
122	8.030206218
123	8.024296772
124	8.01837642
125	8.012720939
126	8.007950035
127	8.002676201
128	7.994487392
129	7.989528136
130	7.984009348
131	7.979191107
132	7.974406888
133	7.969627503
134	7.964742585
135	7.96049185
136	7.955953211
137	7.949551567
138	7.943733559
139	7.939080014
140	7.934369255
141	7.930115625
142	7.924978244
143	7.920737013
144	7.91616144
145	7.912224955
146	7.908888152
147	7.902903943
148	7.897087521
149	7.892964115
150	7.88835036
151	7.881334246
152	7.876861468
153	7.87340038
154	7.870475966
155	7.866620639
156	7.861485157
157	7.858327355
158	7.852368031
159	7.848379216
160	7.843301878
161	7.83871004
162	7.834969254
163	7.828708666
164	7.82542505
165	7.820394424
166	7.815941566
167	7.811403462
168	7.808040663
169	7.804728076
170	7.800694042
171	7.797847728
172	7.795600323
173	7.792722624
174	7.788970806
175	7.785777804
176	7.781798725
177	7.777565993
178	7.773688007
179	7.769958538
180	7.765740157
181	7.763078031
182	7.758847789
183	7.756240818
184	7.752850657
185	7.748213156
186	7.744207311
187	7.741023248
188	7.736658035
189	7.734460776
190	7.731319321
191	7.728043696
192	7.723912445
193	7.719350198
194	7.716625299
195	7.712473381
196	7.709266838
197	7.706067787
198	7.703513086
199	7.700895733
200	7.696640394
201	7.693112294
202	7.688964595
203	7.685936787
204	7.682138328
205	7.677712844
206	7.675183469
207	7.670866939
208	7.66808661
209	7.665349122
210	7.662664828
211	7.659372051
212	7.656771626
213	7.654986925
214	7.651534941
215	7.65064109
216	7.648442169
217	7.645437599
218	7.641307221
219	7.63895382
220	7.636502212
221	7.63376896
222	7.630507821
223	7.626479696
224	7.623999986
225	7.621385512
226	7.618922384
227	7.614895766
228	7.611675032
229	7.606999608
230	7.604530485
231	7.60103517
232	7.598856833
233	7.596310514
234	7.593137853
235	7.591003878
236	7.589272669
237	7.587225317
238	7.586575434
239	7.582939103
240	7.580578979
241	7.578641345
242	7.575458085
243	7.572631646
244	7.569237844
245	7.564889481
246	7.561764027
247	7.560249266
248	7.558338693
249	7.555982271
250	7.554222847
251	7.552023812
252	7.548056665
253	7.545071292
254	7.541254893
255	7.539392678
256	7.537034984
257	7.535291333
258	7.532646789
259	7.529408866
260	7.52697302
261	7.523849777
262	7.520455583
263	7.517862528
264	7.515676206
265	7.513029633
266	7.510526033
267	7.508079449
268	7.506531236
269	7.504820809
270	7.502389297
271	7.50020007
272	7.497384003
273	7.495447581
274	7.49218857
275	7.487779623
276	7.48541659
277	7.482260023
278	7.48145887
279	7.481130577
280	7.479562935
281	7.475112281
282	7.473970972
283	7.471707593
284	7.469087841
285	7.466523485
286	7.464512621
287	7.462046847
288	7.458956376
289	7.457367241
290	7.455921274
291	7.451921811
292	7.449399309
293	7.447207148
294	7.445086508
295	7.442780554
296	7.439822104
297	7.436888809
298	7.43450854
299	7.431703024
300	7.427714975
301	7.425589531
302	7.422231226
303	7.420809219
304	7.419075741
305	7.41614624
306	7.414993293
307	7.414263857
308	7.412478009
309	7.410591523
310	7.410372692
311	7.409241193
312	7.407575119
313	7.404435233
314	7.402437722
315	7.400261633
316	7.397161528
317	7.395262712
318	7.392407845
319	7.391182749
320	7.389836593
321	7.388716883
322	7.386918281
323	7.385467233
324	7.384022301
325	7.383670739
326	7.38136783
327	7.379196989
328	7.377091566
329	7.373696277
330	7.37170944
331	7.370633333
332	7.368090383
333	7.366267323
334	7.364714691
335	7.362172416
336	7.357857113
337	7.355202516
338	7.352239825
339	7.35093257
340	7.350402402
341	7.347580317
342	7.343776351
343	7.342304107
344	7.340778854
345	7.338703649
346	7.336790006
347	7.334436206
348	7.3316298
349	7.328732606
350	7.325784535
351	7.32289598
352	7.321215929
353	7.319275031
354	7.317521916
355	7.315144462
356	7.313409203
357	7.310829568
358	7.309081168
359	7.305997344
360	7.304179609
361	7.302736731
362	7.301031412
363	7.299012927
364	7.29674149
365	7.293535958
366	7.290157637
367	7.288896392
368	7.286561244
369	7.285002285
370	7.283286637
371	7.280980004
372	7.279839061
373	7.277646834
374	7.27443266
375	7.272209542
376	7.2702552
377	7.267553575
378	7.265755588
379	7.263536706
380	7.263004181
381	7.261166107
382	7.258876076
383	7.256065833
384	7.255399081
385	7.253832179
386	7.252008492
387	7.25047449
388	7.247538469
389	7.24611088
390	7.242871309
391	7.242136389
392	7.241028286
393	7.239733808
394	7.23809013
395	7.236891697
396	7.235351488
397	7.233804777
398	7.230949974
399	7.229415053
400	7.226803043
401	7.225284169
402	7.223548426
403	7.221240958
404	7.219193462
405	7.218026986
406	7.216011186
407	7.214456585
408	7.212156859
409	7.209996304
410	7.207431508
411	7.204898685
412	7.202991016
413	7.200831707
414	7.199603902
415	7.197523897
416	7.195669492
417	7.193903917
418	7.19264277
419	7.19228063
420	7.190987174
421	7.189269784
422	7.187017268
423	7.185963114
424	7.183911762
425	7.180865718
426	7.179127268
427	7.176031283
428	7.175739205
429	7.174562707
430	7.172886326
431	7.171598543
432	7.169456714
433	7.167229941
434	7.166432696
435	7.165793513
436	7.164904093
437	7.16372245
438	7.162417384
439	7.16042574
440	7.158318887
441	7.156742118
442	7.154281909
443	7.153338951
444	7.151800258
445	7.149930686
446	7.148903917
447	7.147842627
448	7.146158181
449	7.144807839
450	7.14410057
451	7.142306731
452	7.140292768
453	7.139003624
454	7.138014363
455	7.136827039
456	7.135183905
457	7.134650018
458	7.132389053
459	7.130831824
460	7.129674763
461	7.129191747
462	7.128466287
463	7.127206697
464	7.125132663
465	7.122523452
466	7.12043548
467	7.119679173
468	7.118007725
469	7.116401574
470	7.114736746
471	7.112855136
472	7.111606551
473	7.110031172
474	7.108398318
475	7.105938373
476	7.103697222
477	7.102979531
478	7.100685215
479	7.099244358
480	7.097721346
481	7.095847211
482	7.093662427
483	7.091786276
484	7.091060241
485	7.089378302
486	7.087816115
487	7.085331826
488	7.085063782
489	7.083328211
490	7.082501964
491	7.080938987
492	7.079072089
493	7.077684655
494	7.076181968
495	7.074347622
496	7.07384485
497	7.072049862
498	7.070905665
499	7.069106586
