iter	Passed	Remaining
0	55	27807
1	57	14393
2	59	9914
3	61	7678
4	63	6312
5	65	5401
6	67	4744
7	69	4263
8	71	3884
9	73	3579
10	74	3332
11	76	3126
12	78	2950
13	80	2796
14	82	2664
15	84	2545
16	85	2443
17	87	2350
18	89	2268
19	91	2192
20	93	2123
21	94	2062
22	96	2006
23	98	1955
24	100	1907
25	102	1864
26	103	1821
27	105	1783
28	107	1746
29	109	1711
30	111	1680
31	112	1647
32	114	1617
33	115	1587
34	117	1557
35	118	1528
36	119	1501
37	121	1475
38	122	1450
39	124	1426
40	125	1404
41	126	1384
42	128	1366
43	129	1346
44	131	1326
45	132	1307
46	133	1290
47	135	1273
48	136	1258
49	138	1243
50	139	1229
51	141	1216
52	142	1202
53	144	1189
54	145	1176
55	146	1164
56	148	1152
57	149	1140
58	150	1128
59	152	1119
60	154	1109
61	155	1098
62	156	1087
63	158	1077
64	159	1066
65	160	1056
66	162	1047
67	163	1037
68	164	1028
69	165	1019
70	167	1010
71	168	1001
72	169	993
73	171	985
74	172	977
75	173	969
76	174	961
77	176	953
78	177	945
79	178	938
80	180	931
81	181	924
82	182	917
83	183	911
84	185	904
85	186	898
86	187	892
87	189	885
88	190	879
89	191	873
90	193	868
91	194	862
92	195	856
93	197	851
94	198	846
95	199	840
96	201	835
97	202	830
98	203	824
99	204	819
100	206	814
101	207	809
102	208	804
103	210	799
104	210	793
105	212	788
106	213	783
107	214	779
108	216	775
109	217	770
110	218	766
111	219	762
112	221	757
113	222	753
114	223	749
115	225	745
116	226	741
117	227	737
118	228	733
119	230	729
120	231	725
121	232	721
122	234	717
123	235	713
124	236	710
125	238	706
126	239	702
127	240	698
128	241	695
129	243	691
130	244	688
131	245	684
132	247	682
133	249	680
134	250	678
135	252	675
136	254	673
137	255	670
138	257	668
139	258	665
140	260	662
141	262	660
142	264	659
143	266	658
144	267	655
145	268	651
146	270	648
147	271	645
148	272	642
149	273	639
150	275	636
151	276	633
152	277	630
153	279	627
154	280	624
155	281	621
156	283	618
157	284	616
158	286	614
159	287	611
160	289	609
161	290	606
162	292	603
163	293	601
164	294	598
165	296	595
166	297	593
167	298	590
168	300	587
169	301	584
170	302	582
171	303	579
172	305	577
173	306	574
174	307	571
175	309	569
176	311	567
177	312	565
178	314	563
179	315	561
180	316	558
181	318	555
182	319	553
183	320	551
184	322	548
185	323	545
186	324	543
187	325	540
188	327	538
189	328	536
190	330	533
191	331	531
192	332	529
193	333	526
194	335	524
195	336	522
196	337	519
197	339	517
198	340	515
199	341	512
200	343	510
201	344	508
202	345	506
203	347	503
204	348	501
205	349	499
206	351	496
207	352	494
208	353	492
209	354	490
210	356	487
211	357	485
212	358	483
213	359	481
214	361	479
215	362	476
216	363	474
217	365	472
218	366	470
219	367	468
220	368	465
221	370	463
222	371	461
223	372	459
224	374	457
225	375	455
226	376	453
227	378	450
228	379	448
229	380	446
230	381	444
231	383	442
232	384	440
233	385	438
234	387	436
235	388	434
236	389	432
237	390	430
238	392	428
239	393	426
240	394	424
241	396	422
242	397	420
243	398	418
244	399	416
245	401	414
246	402	412
247	403	410
248	404	408
249	406	406
250	407	404
251	408	402
252	410	400
253	411	398
254	412	396
255	414	394
256	415	392
257	416	390
258	417	388
259	419	387
260	420	385
261	421	383
262	423	381
263	424	379
264	425	377
265	427	375
266	428	373
267	429	372
268	430	370
269	432	368
270	433	366
271	434	364
272	436	362
273	437	360
274	438	358
275	439	357
276	441	355
277	442	353
278	443	351
279	445	349
280	446	347
281	447	346
282	448	344
283	450	342
284	451	340
285	452	338
286	454	337
287	455	335
288	456	333
289	458	331
290	459	329
291	460	328
292	461	326
293	463	324
294	464	322
295	465	320
296	467	319
297	468	317
298	469	315
299	470	313
300	472	312
301	473	310
302	474	308
303	476	306
304	477	305
305	478	303
306	479	301
307	480	299
308	481	297
309	482	295
310	483	293
311	484	291
312	485	290
313	487	288
314	488	286
315	489	285
316	490	283
317	492	281
318	493	280
319	494	278
320	496	276
321	497	275
322	499	273
323	500	272
324	502	270
325	503	268
326	504	267
327	506	265
328	507	263
329	509	262
330	510	260
331	512	259
332	513	257
333	515	256
334	517	254
335	518	253
336	520	251
337	521	250
338	523	248
339	524	246
340	525	244
341	526	243
342	528	241
343	529	240
344	531	238
345	532	236
346	533	235
347	535	234
348	537	232
349	539	231
350	540	229
351	542	228
352	543	226
353	545	224
354	546	223
355	547	221
356	549	219
357	550	218
358	551	216
359	553	215
360	554	213
361	556	211
362	557	210
363	558	208
364	560	207
365	561	205
366	562	203
367	563	202
368	565	200
369	566	198
370	567	197
371	569	195
372	570	194
