iter	RMSE
0	4187.667708
1	3957.210273
2	3748.510461
3	3562.39282
4	3402.981035
5	3260.163197
6	3134.735047
7	3025.203727
8	2929.079838
9	2843.786684
10	2767.207938
11	2699.868975
12	2639.261978
13	2583.417829
14	2536.456856
15	2496.912975
16	2462.4178
17	2425.691036
18	2393.351022
19	2365.906205
20	2338.079054
21	2315.205207
22	2294.890705
23	2276.124766
24	2259.59932
25	2244.434951
26	2228.409996
27	2215.377166
28	2201.847273
29	2190.431811
30	2179.226526
31	2169.609482
32	2159.69246
33	2151.865828
34	2143.871925
35	2136.936698
36	2128.65711
37	2119.877642
38	2107.809765
39	2099.335428
40	2089.407039
41	2083.771038
42	2077.957029
43	2072.182243
44	2065.412236
45	2060.466436
46	2056.398579
47	2051.637685
48	2047.821972
49	2043.799051
50	2040.093768
51	2035.540306
52	2032.235292
53	2028.056081
54	2022.147078
55	2017.120227
56	2013.97431
57	2011.784507
58	2008.319905
59	2003.981817
60	2001.038695
61	1998.466071
62	1993.891807
63	1991.220523
64	1988.665199
65	1986.235156
66	1982.899391
67	1979.32805
68	1976.834882
69	1974.823539
70	1972.440074
71	1969.61566
72	1967.950047
73	1964.790764
74	1962.44439
75	1960.438079
76	1957.809147
77	1954.979803
78	1953.24333
79	1951.364483
80	1950.009158
81	1948.42499
82	1946.23022
83	1944.658432
84	1942.134123
85	1940.412392
86	1938.496698
87	1937.481762
88	1935.985319
89	1934.601559
90	1931.835365
91	1930.219634
92	1928.569029
93	1926.505283
94	1924.584747
95	1923.547358
96	1921.871238
97	1919.725047
98	1918.205897
99	1916.204472
100	1915.035762
101	1913.395352
102	1911.855013
103	1910.366459
104	1909.29332
105	1908.288657
106	1907.100065
107	1906.059175
108	1904.423402
109	1903.345387
110	1902.128016
111	1900.94727
112	1900.00074
113	1898.946291
114	1898.075057
115	1897.640968
116	1896.925257
117	1896.007184
118	1894.940889
119	1893.605769
120	1892.49275
121	1890.9388
122	1889.553255
123	1888.538037
124	1886.881567
125	1886.106949
126	1884.747286
127	1883.224675
128	1882.504518
129	1881.761715
130	1880.354668
131	1879.474854
132	1878.55785
133	1877.602806
134	1876.275464
135	1875.437781
136	1874.470073
137	1873.743284
138	1872.864897
139	1872.054852
140	1871.24095
141	1870.455883
142	1869.6967
143	1868.941674
144	1868.073085
145	1867.102786
146	1866.049161
147	1865.221127
148	1864.270695
149	1863.516243
150	1862.932226
151	1861.792151
152	1861.104635
153	1860.055804
154	1859.361267
155	1858.508975
156	1857.413558
157	1856.432715
158	1855.731188
159	1854.737829
160	1854.192141
161	1853.231793
162	1852.477192
163	1851.534144
164	1850.918412
165	1850.207199
166	1849.400722
167	1848.901806
168	1848.024535
169	1847.432862
170	1846.508019
171	1845.770887
172	1845.298939
173	1844.754601
174	1844.103503
175	1843.59745
176	1842.540792
177	1842.003184
178	1841.423683
179	1841.058519
180	1840.089904
181	1839.576572
182	1838.822454
183	1838.135586
184	1837.585036
185	1836.741789
186	1836.25586
187	1835.890521
188	1835.41678
189	1834.870845
190	1834.076075
191	1833.707021
192	1833.06244
193	1832.620331
194	1832.014121
195	1831.562225
196	1831.153412
197	1830.287512
198	1829.493588
199	1828.867347
200	1828.342932
201	1827.527108
202	1826.466462
203	1825.822345
204	1825.402872
205	1824.871469
206	1823.998281
207	1823.499799
208	1822.78754
209	1822.215232
210	1821.75672
211	1821.085339
212	1820.545979
213	1820.155648
214	1819.80059
215	1819.208851
216	1818.320269
217	1817.812985
218	1817.385792
219	1816.617382
220	1816.269413
221	1815.771903
222	1815.125589
223	1814.732118
224	1814.32178
225	1813.666366
226	1813.251805
227	1812.776074
228	1812.386685
229	1811.780983
230	1810.984315
231	1810.560106
232	1810.1445
233	1809.679273
234	1808.954619
235	1808.571099
236	1808.189719
237	1807.929997
238	1807.412368
239	1807.034407
240	1806.312593
241	1805.806639
242	1805.010935
243	1804.472782
244	1804.137924
245	1803.627283
246	1802.868745
247	1802.390076
248	1801.965917
249	1801.223864
250	1800.912311
251	1800.486315
252	1799.804356
253	1799.397609
254	1798.998568
255	1798.679654
256	1798.356874
257	1797.932698
258	1797.257421
259	1796.923317
260	1796.452798
261	1796.121534
262	1795.822058
263	1795.423292
264	1795.031892
265	1794.66446
266	1793.974069
267	1793.724358
268	1793.374011
269	1793.04968
270	1792.574233
271	1792.204998
272	1791.752148
273	1791.457115
274	1791.19036
275	1790.647981
276	1790.042111
277	1789.777012
278	1789.470843
279	1789.035956
280	1788.429726
281	1788.217784
282	1787.732131
283	1787.344803
284	1786.744171
