iter	Passed	Remaining
0	74	74885
1	94	47332
2	115	38307
3	135	33729
4	156	31102
5	177	29356
6	198	28180
7	221	27406
8	240	26486
9	262	26006
10	282	25411
11	304	25060
12	325	24743
13	347	24506
14	371	24365
15	395	24329
16	418	24175
17	438	23937
18	458	23649
19	478	23426
20	499	23297
21	520	23159
22	541	23006
23	565	22996
24	588	22960
25	610	22860
26	632	22781
27	653	22689
28	676	22644
29	697	22537
30	717	22439
31	740	22388
32	761	22320
33	782	22237
34	803	22152
35	824	22076
36	844	21989
37	866	21943
38	896	22100
39	921	22119
40	948	22188
41	970	22129
42	992	22094
43	1014	22039
44	1040	22081
45	1060	22000
46	1080	21918
47	1103	21889
48	1124	21828
49	1155	21945
50	1183	22031
51	1208	22026
52	1231	21997
53	1256	22005
54	1279	21978
55	1302	21964
56	1325	21933
57	1346	21863
58	1368	21829
59	1389	21771
60	1412	21741
61	1433	21681
62	1457	21680
63	1477	21612
64	1499	21571
65	1520	21516
66	1541	21468
67	1568	21494
68	1591	21476
69	1617	21494
70	1642	21490
71	1667	21487
72	1690	21462
73	1713	21436
74	1738	21445
75	1767	21483
76	1795	21522
77	1819	21510
78	1844	21507
79	1870	21512
80	1897	21522
81	1922	21518
82	1945	21498
83	1971	21494
84	1997	21499
85	2026	21536
86	2060	21623
87	2082	21577
88	2102	21516
89	2122	21463
90	2153	21514
91	2174	21464
92	2199	21450
93	2222	21417
94	2244	21378
95	2265	21330
96	2287	21290
97	2309	21259
98	2331	21223
99	2354	21192
100	2374	21139
101	2394	21085
102	2414	21031
103	2436	20992
104	2456	20936
105	2474	20869
106	2494	20815
107	2513	20761
108	2537	20738
109	2560	20715
110	2584	20697
111	2607	20675
112	2629	20642
113	2650	20601
114	2671	20557
115	2689	20496
116	2708	20438
117	2728	20390
118	2747	20339
119	2769	20307
120	2789	20264
121	2810	20228
122	2835	20214
123	2855	20172
124	2876	20136
125	2898	20103
126	2921	20079
127	2946	20071
128	2968	20044
129	2990	20010
130	3012	19984
131	3033	19944
132	3054	19910
133	3075	19879
134	3097	19845
135	3118	19808
136	3141	19786
137	3161	19746
138	3188	19750
139	3211	19728
140	3234	19703
141	3255	19673
142	3277	19643
143	3300	19618
144	3326	19613
145	3349	19592
146	3375	19584
147	3400	19576
148	3423	19552
149	3447	19537
150	3472	19522
151	3499	19522
152	3526	19521
153	3555	19534
154	3581	19524
155	3609	19527
156	3633	19509
157	3656	19487
158	3682	19479
159	3717	19517
160	3743	19506
161	3766	19481
162	3788	19452
163	3810	19425
164	3832	19393
165	3855	19372
166	3882	19364
167	3904	19337
168	3925	19304
169	3946	19269
170	3968	19239
171	3990	19209
172	4012	19179
173	4033	19145
174	4055	19121
175	4076	19087
176	4101	19070
177	4123	19043
178	4146	19020
179	4166	18979
180	4189	18954
181	4212	18931
182	4234	18903
183	4255	18872
184	4276	18838
185	4306	18847
186	4327	18815
187	4347	18776
188	4367	18741
189	4387	18703
190	4407	18669
191	4427	18632
192	4447	18598
193	4467	18562
194	4487	18526
195	4506	18486
196	4526	18451
197	4554	18448
198	4577	18423
199	4600	18400
200	4621	18372
201	4642	18339
202	4666	18323
203	4688	18294
204	4707	18255
205	4727	18220
206	4750	18198
207	4774	18179
208	4795	18150
209	4816	18119
210	4839	18098
211	4863	18076
212	4887	18058
213	4908	18029
214	4928	17995
215	4951	17971
216	4974	17949
217	4995	17918
218	5016	17888
219	5038	17864
220	5059	17832
221	5081	17809
222	5101	17775
223	5122	17744
224	5143	17718
225	5164	17686
226	5186	17660
227	5207	17631
228	5227	17600
229	5250	17577
230	5272	17550
231	5293	17523
232	5323	17524
233	5344	17496
234	5367	17471
235	5389	17446
236	5408	17412
237	5428	17381
238	5451	17358
239	5472	17330
240	5498	17315
241	5518	17286
242	5540	17259
243	5564	17241
244	5587	17219
245	5612	17201
246	5632	17169
247	5657	17154
248	5681	17137
249	5704	17112
250	5724	17081
251	5748	17063
252	5774	17050
253	5795	17020
254	5816	16992
255	5835	16959
256	5857	16933
257	5881	16914
258	5905	16894
259	5925	16863
260	5944	16832
261	5965	16803
262	5988	16780
263	6010	16755
264	6029	16723
265	6049	16693
266	6073	16674
267	6093	16644
268	6117	16624
269	6138	16596
270	6159	16569
271	6182	16547
272	6205	16525
273	6225	16494
274	6244	16462
275	6266	16437
276	6287	16411
277	6312	16393
278	6332	16364
279	6354	16340
280	6374	16311
281	6393	16279
282	6415	16253
283	6447	16254
284	6466	16222
285	6487	16197
286	6506	16165
287	6526	16134
288	6550	16115
289	6573	16093
290	6596	16071
291	6616	16043
292	6637	16015
293	6657	15985
294	6679	15962
295	6697	15928
296	6715	15896
297	6735	15866
298	6755	15837
299	6776	15811
300	6796	15783
301	6817	15755
302	6836	15726
303	6860	15707
304	6884	15687
305	6903	15657
306	6923	15629
307	6944	15601
308	6962	15570
309	6983	15544
310	7005	15519
311	7026	15493
312	7046	15465
313	7066	15437
314	7086	15409
315	7107	15384
316	7130	15363
317	7150	15336
318	7170	15307
319	7192	15284
320	7211	15254
321	7233	15231
322	7253	15203
323	7275	15179
324	7299	15159
325	7322	15139
326	7344	15116
327	7364	15088
328	7383	15058
329	7405	15035
330	7426	15010
331	7446	14983
332	7466	14956
333	7487	14929
334	7508	14904
335	7531	14883
336	7551	14856
337	7581	14848
338	7605	14829
339	7626	14805
340	7648	14780
341	7671	14759
342	7691	14732
343	7712	14708
344	7734	14684
345	7756	14662
346	7777	14635
347	7796	14606
348	7816	14579
349	7838	14557
350	7862	14538
351	7884	14514
352	7904	14487
353	7927	14466
354	7950	14445
355	7973	14423
356	7992	14394
357	8011	14366
358	8031	14340
359	8053	14317
360	8079	14300
361	8099	14274
362	8118	14247
363	8137	14218
364	8160	14196
365	8184	14176
366	8202	14147
367	8224	14124
368	8243	14097
369	8266	14074
370	8287	14051
371	8307	14024
372	8328	13999
373	8347	13971
374	8368	13947
375	8386	13917
376	8406	13891
377	8426	13866
378	8447	13841
379	8469	13817
380	8489	13793
381	8508	13764
382	8529	13740
383	8554	13722
384	8583	13711
385	8624	13718
386	8650	13702
387	8673	13681
388	8694	13655
389	8713	13628
390	8731	13600
391	8751	13573
392	8771	13547
393	8790	13520
394	8810	13495
395	8829	13467
396	8851	13444
397	8871	13418
398	8891	13392
399	8913	13369
400	8933	13344
401	8954	13319
402	8973	13293
403	8993	13267
404	9011	13239
405	9031	13213
406	9052	13189
407	9071	13162
408	9091	13137
409	9112	13113
410	9133	13089
411	9158	13071
412	9180	13048
413	9200	13022
414	9221	12998
415	9242	12974
416	9267	12956
417	9288	12933
418	9312	12913
419	9333	12888
420	9353	12863
421	9374	12840
422	9396	12816
423	9418	12795
424	9437	12768
425	9457	12743
426	9482	12724
427	9506	12705
428	9530	12685
429	9552	12663
430	9580	12648
431	9604	12628
432	9646	12631
433	9670	12611
434	9690	12586
435	9709	12559
436	9732	12538
437	9750	12510
438	9769	12484
439	9789	12459
440	9809	12434
441	9828	12408
442	9852	12388
443	9874	12365
444	9895	12341
445	9913	12314
446	9934	12290
447	9955	12266
448	9973	12239
449	9994	12215
450	10016	12192
451	10037	12169
452	10059	12147
453	10080	12123
454	10100	12098
455	10121	12074
456	10144	12053
457	10163	12027
458	10183	12003
459	10203	11978
460	10223	11953
461	10245	11930
462	10265	11906
463	10285	11881
464	10306	11858
465	10328	11835
466	10347	11810
467	10366	11784
468	10385	11758
469	10404	11732
470	10425	11709
471	10444	11684
472	10463	11657
473	10481	11631
474	10499	11605
475	10521	11582
476	10545	11562
477	10569	11542
478	10590	11519
479	10610	11494
480	10628	11468
481	10648	11444
482	10685	11437
483	10707	11415
484	10728	11391
485	10747	11366
486	10765	11340
487	10784	11314
488	10805	11292
489	10826	11268
490	10849	11247
491	10870	11223
492	10889	11198
493	10908	11173
494	10928	11149
495	10952	11129
496	10976	11108
497	10997	11085
498	11016	11060
499	11040	11040
500	11062	11018
501	11083	10994
502	11103	10971
503	11125	10949
504	11147	10926
505	11168	10904
506	11192	10883
507	11217	10864
508	11239	10841
509	11260	10818
510	11284	10798
511	11307	10777
512	11330	10756
513	11351	10733
514	11375	10712
515	11397	10690
516	11421	10669
517	11442	10647
518	11464	10625
519	11488	10605
520	11510	10582
521	11537	10565
